matnr;bwkey;bwtar;stprs;peinh;bklas
000000000004000212;E110;;122396.43;1000;3000
000000000004000213;E110;;9251486.51;1000;3000
000000000004000214;E110;;1704443.25;1000;3000
000000000004000215;E110;;7843446.74;1000;3000
000000000004000216;E110;;2718465.74;1000;3000
000000000004000225;E110;;67500;1000;3000
000000000004000226;E110;;500000;1000;3000
000000000004000227;E110;;980000;1000;3000
000000000004000228;E110;;103008.93;1000;3000
000000000004000229;E110;;120000;1000;3000
000000000004000231;E110;;39200;1000;3000
000000000004000232;E110;;2912860.06;1000;3000
000000000004000233;E110;;2875071.13;1000;3000
000000000004000234;E110;;23874.99;1000;3000
000000000004000235;E110;;1190802.54;1000;3000
000000000004000236;E110;;97540.24;1000;3000
000000000004000237;E110;;32000000;1000;3000
000000000004000238;E110;;783051.97;1000;3000
000000000004000239;E110;;37335.29;1000;3000
000000000004000240;E110;;62000;1000;3000
000000000004000241;E110;;228196.78;1000;3000
000000000004000242;E110;;5000;1000;3000
000000000004000243;E110;;19200;1000;3000
000000000004000245;E110;;2529192.68;1000;3000
000000000004000246;E110;;16400000;1000;3000
000000000004000247;E110;;18074274.32;1000;3000
000000000004000249;E110;;2440000;1000;3000
000000000004000250;E110;;2137688.5;1000;3000
000000000004000251;E110;;5322585.71;1000;3000
000000000004300001;E110;;6183.28;1000;3010
000000000004300002;E110;;7624.83;1000;3010
000000000004300003;E110;;7155.1;1000;3010
000000000004300005;E110;;4492.97;1000;3010
000000000004300007;E110;;4550.02;1000;3010
000000000004300010;E110;;12800;1000;3010
000000000004300011;E110;;6559.93;1000;3010
000000000004300012;E110;;7300;1000;3010
000000000004300016;E110;;7458.68;1000;3010
000000000004300019;E110;;10549.96;1000;3010
000000000004300020;E110;;4400.01;1000;3010
000000000004300021;E110;;7316.73;1000;3010
000000000004400001;E110;;2500;1000;3010
000000000004400002;E110;;2500;1000;3010
000000000004400003;E110;;2500;1000;3010
000000000004400004;E110;;2500;1000;3010
000000000004400005;E110;;2500;1000;3010
000000000004400006;E110;;0.01;1000;3010
000000000004400007;E110;;0.01;1000;3010
000000000004400008;E110;;0.01;1000;3010
000000000004400009;E110;;1880;1000;3010
000000000004400010;E110;;2390;1000;3010
000000000004400011;E110;;2190;1000;3010
